StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,"18yr ","Consent ","MS1 ","MS1_note ","MS2 ","MS2_note ","MS3 ","MS3_note ","MS4 ","MS4_note ","MS7 ","MS7_note ","MS9 ","MS9_note ","MS11 ","MS11_note ","MS12 ","MS12_note ","MS14 ","MS14_note ","MS15 ","MS15_note ","MS17 ","MS17_note ","MS20 ","MS20_note ","CU1 ","CU1_note ","CU2 ","CU2_note ","CU3 ","CU3_note ","CU4 ","CU4_note ","CU5 ","CU5_note ","CU6 ","CU6_note ","CU8 ","CU8_note ","CU10 ","CU10_note ","CU11 ","CU11_note ","CU12 ","CU12_note ","CU13 ","CU13_note ","CU14 ","CU14_note ",CU16,CU16_note,"CU17 ","CU17_note ","CU18 ","CU18_note ","AE1 ","AE1_note ","AE3 ","AE3_note ","AE4 ","AE4_note ","AE5 ","AE5_note ","AE6 ","AE6_note ","AE7 ","AE7_note ","AE8 ","AE8_note ","AE9 ","AE9_note ","AE10 ","AE10_note ","AE12 ","AE12_note ","AE14 ","AE14 ","AE15 ","AE15_note ","AE17 ","AE17 ","AE19 ","AE19_note ","End_eval ","IDcode ","Nationality "
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Are you aged 18 or older?,Do you consent to taking part in this study?,I was lifted up into the air by the music,Notes on this item,I experienced reality differently while listening to the music,Notes on this item,The music moved my soul,Notes on this item,"I was completely immersed in the music, as if my whole state of consciousness had been temporarily altered",Notes on this item,I wanted the music to make me feel deeply about something,Notes on this item,I felt the music move my soul,Notes on this item,The music helped me 'step outside' of my usual self to experience an entirely different state of being,Notes on this item,The music prepared me for spiritual experiences,Notes on this item,The music related to my spirituality,Notes on this item,I was emotionally moved by the music,Notes on this item,I felt spiritually connected to other people that listen to this music,Notes on this item,I had to be in control of where the music took me spiritually,Notes on this item,The music helped me understand the world better,Notes on this item,Listening to the music was a rewarding experience for my curiosity,Notes on this item,The music inspired me to think about important issues,Notes on this item,Listening to the music was an intellectual experience for me,Notes on this item,It was exciting to figure out where the music would go next,Notes on this item,I wanted the music to make me feel something new,Notes on this item,I was curious about how the music would make me feel,Notes on this item,Being interested in the music prepared me for what happened next,Notes on this item,Listening to the music stimulated my curiosity,Notes on this item,My musical curiosity helped me understand the experience,Notes on this item,The music sparked my curiosity,Notes on this item,I wondered how other people felt about the music,Notes on this item,My curiousity about the music was socially appropriate at the time,Notes on this item,I wanted to listen to new and unfamiliar music,Notes on this item,I let go of control to experience new and unfamiliar music,Notes on this item,The music was appropriate for my sense of aesthetics,Notes on this item,I appreciated the beauty of the music,Notes on this item,I enjoyed the music as art,Notes on this item,The music evoked a strong emotional experience in me,Notes on this item,The music was appropriate for the aesthetics of the experience,Notes on this item,I wanted to feel strong emotions from the music,Notes on this item,The music enhanced my emotions toward the total experience,Notes on this item,Music made the atmosphere more pleasant,Notes on this item,The music was aesthetically right for the situation,Notes on this item,I felt ready for the music to cause strong emotions in me,Notes on this item,The experience was fulfilled by the beauty of music,Notes on this item,The music gave me an unforgettable experience,Notes on this item,The music let me share a strong experience with someone,Notes on this item,I needed the music to perfectly fit the moment,Notes on this item,Were there aspects of Aesthetics-Interest-Awe which you thought were missing or under represented in the item pool? Or similar concepts missing which need to be addressed?,"Please input an identification code using this format: ""initial of your last name + institutional abbreviation"" 

For example, someone named 'Kirts' at 'Durham University' would write the code: KDU",What is your nationality?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1217486481""}","{""ImportId"":""QID1217486482""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID1217486501_TEXT""}","{""ImportId"":""QID1217486502_TEXT""}","{""ImportId"":""QID1217486503_TEXT""}"
2024-07-16 11:31:41,2024-07-16 11:35:22,IP Address,100,220,True,2024-07-16 11:35:22,R_8G1yNVE7cPPEc9g,anonymous,EN,,,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,I kind of dislike the word soul (because I find it a bit too poetic and religious myself),Extremely Relevant,,Moderately Relevant,a bit vague but fits,Extremely Relevant,I dislike the word soul but accept this nevertheless,Extremely Relevant,,Extremely Relevant,interesting one,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,can be more about agency,Moderately Relevant,,Moderately Relevant,reward,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,,,
2024-08-12 17:43:07,2024-08-12 17:49:22,IP Address,100,374,True,2024-08-12 17:49:23,R_2EPaE4r9yrdPbPP,anonymous,EN,,,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Not Relevant,,Not Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Not Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Not Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,,,
2024-09-06 11:30:17,2024-09-06 11:30:43,Survey Preview,100,26,True,2024-09-06 11:30:44,R_82b7xwUkh4ErvWm,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06 11:30:47,2024-09-06 11:31:04,Survey Preview,100,16,True,2024-09-06 11:31:04,R_8kUEBoxFdRhcWtD,preview,EN,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06 11:31:07,2024-09-06 11:32:34,Survey Preview,100,87,True,2024-09-06 11:32:34,R_8DpfH8GAR6wdeRy,preview,EN,1,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDU,
2024-09-18 17:16:24,2024-09-18 17:24:21,IP Address,100,477,True,2024-09-18 17:24:22,R_8QzdZcmUe6iOoJ0,anonymous,EN,1,Yes,Yes,Not Relevant,"I personally do not resonate with these metaphorical experiences. I find it hard to engage with them in a meaningful way. ",Moderately Relevant,,Not Relevant,Not sure I have one,Moderately Relevant,,Slightly Relevant,"Wanted to vs. actual experience is hard to comprehend ",Not Relevant,"Again, my soul?",Moderately Relevant,"State of being? ",Extremely Relevant,,Extremely Relevant,"Are spirituality and faith synonymous here? ",Extremely Relevant,There are more nuanced ways of measuring this of course,Moderately Relevant,"I would say extremely important if the word spirituality was removed ",Not Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,wanted to vs did?,Moderately Relevant,,Not Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,,"I find it hard to engage with 'sense of aesthetics' as this is not an everyday term ",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"again, there are better ways of capturing this",Slightly Relevant,I would not know how to answer this,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Not Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,"I think a lot of people may struggle to engage with the abstract nature of some of these concepts such as soul, aesthetics, or spirituality. I think the emotional questions were not sufficiently nuanced to adequately capture that experience. I also struggle with questions relating to expectation or motivation rather than the lived experience of a situation. ",OUoY,British
2024-09-28 16:21:06,2024-09-28 17:43:28,IP Address,100,4941,True,2024-09-28 17:43:29,R_8yq2XHR3VADTmSG,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,With CB overlaps,Slightly Relevant,Agency is choosing the right music seems different to describing the functional episode,Slightly Relevant,"This certainly appears to have relevance to aspects of AIA. I would suggest in components like spirituality, but it could be understood as feeling more connected to the world too. This would be somewhat against the detached nature of the description of spirituality. It could perhaps be seen more like the outcome of PEP episode?",Extremely Relevant,,Moderately Relevant,"Certainly relevant to the AIA episode, but could have some overlap with PEP as expressing or gaining insight into feelings. This seems relevant to the interpretation of 'issues' as personal or more related to external factors (the degree of agency over the issue).",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,"Intentionally listening to the music with a purposeful goal, or listening to music with a different/without a purpose before a new goal emerges.",Extremely Relevant,,Extremely Relevant,,Slightly Relevant,Is this an empath reference and perhaps overlaps with CB episodes. Or is the intention to suggest a personal and unique experience with music,Moderately Relevant,"This certainly fits the AIA episode description but seems to suggest an understanding of meta-cognition. I used the music for one function in this situation, but in another situation I wouldn't?",Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,"My immediate interpretation was it fits AIA perfectly. However, it also seems that this is more an assessment of goal-congruence (how well the music fits a function), this could be any function (e.g., the aesthetics of the experience could be for dancing or feeling less lonely). Although, the word aesthetics does lead me to think more about specifically aesthetic or beautiful experiences.",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,"goal-congruence, could be confused with other functions. But again, the 'aesthetically' suggests AIA is one of those functions",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,"Overlaps with CB episodes ",Not Relevant,"Goal-congruence, the music music be right for the function, but which functions seems vague","No, but I note several elements that blend with other functions too.",TML,British
2024-09-14 19:55:28,2024-09-14 20:52:19,IP Address,97,3411,False,2024-09-28 20:57:42,R_1mtq8M0qcEel5FT,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,Extremely Relevant,,Not Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,in the case intellectual can be accepted as a variety of an aesthetic experience,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,understand seems not appropriate,Extremely Relevant,,Not Relevant,,Not Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,might not be properly addressed (total experience?),Extremely Relevant,,Slightly Relevant,"'aesthetically right' sounds rare ",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,gave is not a very good word,Not Relevant,,Moderately Relevant,,,,
