StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,"18yr ","Consent ","MS1 ","MS1_note ","MS2 ","MS2_note ","MS3 ","MS3_note ","MS4 ","MS4_note ","MS7 ","MS7_note ","MS9 ","MS9_note ","MS11 ","MS11_note ","MS12 ","MS12_note ","MS14 ","MS14_note ","MS15 ","MS15_note ","MS17 ","MS17_note ","MS20 ","MS20_note ","CU1 ","CU1_note ","CU2 ","CU2_note ","CU3 ","CU3_note ","CU4 ","CU4_note ","CU5 ","CU5_note ","CU6 ","CU6_note ","CU8 ","CU8_note ","CU10 ","CU10_note ","CU11 ","CU11_note ","CU12 ","CU12_note ","CU13 ","CU13_note ","CU14 ","CU14_note ",CU16,CU16_note,"CU17 ","CU17_note ","CU18 ","CU18_note ","AE1 ","AE1_note ","AE3 ","AE3_note ","AE4 ","AE4_note ","AE5 ","AE5_note ","AE6 ","AE6_note ","AE7 ","AE7_note ","AE8 ","AE8_note ","AE9 ","AE9_note ","AE10 ","AE10_note ","AE12 ","AE12_note ","AE14 ","AE14 ","AE15 ","AE15_note ","AE17 ","AE17 ","AE19 ","AE19_note ","End_eval ","IDcode ","Nationality "
2024-10-02 16:40:06,2024-10-02 17:16:15,IP Address,100,2168,True,2024-10-02 17:16:16,R_8q4reZP9BluBNrd,anonymous,EN,1,Yes,Yes,Moderately Relevant,"Seems fairly clear, as an transcendental out-of-body experience. It is quite specific as an item, so may need some others to capture this dimension?",Moderately Relevant,"Interesting item. No immediate suggestions, but perhaps the word 'reality' sticks out as a bit unusual.",Moderately Relevant,It aligns with the AIA summary. Do we need 'my soul'? Could it just be 'me'?,Moderately Relevant,Relevant item; a bit verbose. Perhaps removing 'temporarily' would go a long way to making this a bit easier to parse.,Moderately Relevant,"I think this is relevant, though I can see the relevance perhaps for the PEP Episode too? There is not too much in the AIA summary relating to 'feeling' something, or 'meaning' (which this item to alludes to, at least for me!).",Moderately Relevant,"Similarly, perhaps we do not need 'my soul' (although it does feel a bit better here!).",Moderately Relevant,"I do not personally relate to this too much, so it feels a bit wordy and grand! But I see the transcendental dimension here.",Moderately Relevant,Seems fine! Could we be more specific beyond 'spiritual'? Perhaps it is not needed.,Moderately Relevant,Seems fine.,Moderately Relevant,"Seems relevant, over the course of this AIA task I am starting to see a little more how the emotional dimension feeds into the Episode.",Slightly Relevant,I am not sure whether the AIA Episode stresses connection so strongly? And I wonder if listeners will focus on that element.,Moderately Relevant,"I see the spiritual aspect, but wonder about the 'control' element?",Moderately Relevant,No immediate comments!,Extremely Relevant,Seems clear.,Slightly Relevant,I am not sure this is clearly related to the AIA summary? Seems to stick out a bit.,Moderately Relevant,"Seems fine, and capturing the interest/curiosity aspects of the Episode.",Moderately Relevant,Okay!,Moderately Relevant,Seems good.,Moderately Relevant,"Yes, makes sense.",Moderately Relevant,"Is the 'what happened next' referring to the music itself? Assume so, and not sure of an elegant way to specify this!",Moderately Relevant,Fine.,Moderately Relevant,Okay.,Moderately Relevant,Good.,Slightly Relevant,"Does not seem relevant to me? There is a curiosity aspect perhaps, but not sure about this one.",Moderately Relevant,,Moderately Relevant,Seems okay.,Moderately Relevant,Seems clear. I see that 'control' reflects a descriptive scheme for the Episode?,Moderately Relevant,"It feels as though 'sense of aesthetics' could be open to many broad interpretations. Also, music being 'appropriate' for someone's 'aesthetics' could be tricky to respond to?",Extremely Relevant,"Feels intuitive and clear, and resonates with the Episode.",Slightly Relevant,Less sure of this one. Is it tapping into that idea of enjoying the 'music itself'? Though that is a bit tricky too. Might be a clearer way of wording this item.,Slightly Relevant,"The item wording is fine, but I am not so convinced how closely this aligns with the AIA Episode (strong emotions may be equally relevant in some other Episodes, e.g, CB or PEP).",Slightly Relevant,This item feels quite difficult to make sense of.,Slightly Relevant,"Again, I think this item looks okay, but unsure whether it resonates closely with the AIA Episode as summarised in the guidance document. Of course I see awe is mentioned, but if that is what these items are getting at, a more specific wording could be useful.",Not Relevant,Not fully sure what is meant by this item? What is meant by the 'total experience'? I'd recommend clarifying or modifying.,Slightly Relevant,"Fairly clear item, but it does not seem clearly aesthetic/interest/awe-related? Perhaps more for the EDR Episode? ",Moderately Relevant,"I can see that this fits the Episode, though I wonder - how do we distinguish music being 'aesthetically right' for a situation, compared to 'emotionally right' or something similar? E.g., If we listen to sad music to match our mood and induce feelings of consolation, is that an 'aesthetic' fit?",Slightly Relevant,Interesting item! See my other comments on 'strong emotion' and the correspondence with the AIA Episode.,Moderately Relevant,"Seems fine, beauty and aesthetics feels intuitive. But I wonder if other dimensions of 'aesthetics' could be explored in the rating items. Rating something at the level of 'aesthetics' only could be quite difficult.",Moderately Relevant,"It brings the 'peak experience' concept to mind. Somehow, this feels a bit better and closer to the AIA Episode, compared to the 'strong emotion' items, for now...",Slightly Relevant,"How important is this collective dimension for the AIA Episode? The immediate crossover is with the CB Episode perhaps, so not sure of the relevance of this item.",Moderately Relevant,"Makes sense as an item, but wonder how this might fit in relation to the AIA Episode specifically (seems more holistically relevant)","I am not sure that 'aesthetics' is so useful as a broad term in some of the items, some perhaps some more specific items would help capture the various aesthetic dimensions. 

You may want a few items that capture a bit more closely the experience of 'awe', as this did not seem to emerge clearly.",BLU,British
2024-10-03 09:31:21,2024-10-03 11:13:58,IP Address,100,6157,True,2024-10-03 11:13:59,R_2fPPL1qdDGUS3IQ,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Not Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,wording is a bit confusing,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,,JDU,USA
2024-10-06 15:25:25,2024-10-06 15:35:59,IP Address,100,634,True,2024-10-06 15:36:00,R_8DhumS14YHNkrp7,anonymous,EN,,Yes,Yes,Slightly Relevant,too abstract,Moderately Relevant,could also be interpreted as the music having changed your thoughts/emotions,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,make it more concrete? could also be PEP,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,"why ""prepared""? maybe ""provided"" is better?",Extremely Relevant,,Moderately Relevant,,Slightly Relevant,also CB episode?,Slightly Relevant,"Don't really know what that means ""I had to be in control""",Not Relevant,PEP?,Moderately Relevant,,Not Relevant,PEP / Musical Meaning,Not Relevant,"cannot grasp what an ""intellectual experience"" is",Not Relevant,Listening Modes / Agency,Slightly Relevant,again overlap with other,Extremely Relevant,,Not Relevant,don't know what that actually means,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Not Relevant,CB,Not Relevant,,Not Relevant,,Slightly Relevant,"why would someone ""let go of control"" for that?",Extremely Relevant,"maybe ""satisfied my sense of aesthetics""?",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,"the wording of ""appropriate"" is weird",Moderately Relevant,,Slightly Relevant,cannot really grasp what is meant,Not Relevant,more EDR or Focus,Moderately Relevant,,Not Relevant,"""felt ready"" sounds weird",Extremely Relevant,,Extremely Relevant,,Not Relevant,CB?,Not Relevant,,again a lot of overlaps with the other episodes and elements of DEEM,KJYU,German
2024-10-06 19:13:14,2024-10-06 19:29:56,IP Address,100,1001,True,2024-10-06 19:29:57,R_5JuERIUY0mOjuCt,anonymous,EN,0.6000000238418579,Yes,Yes,Extremely Relevant,"I think this item could be rephrased slightly, like ""I felt like the music lifted me into the air"", or ""lifted me out of my body""",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Some overlap with PEP episode,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Some semantic overlap with PEP - expressing feelings,Moderately Relevant,Also relevant to CB - socialisation,Moderately Relevant,"I'm not sure how necessary the ""control"" element is to this episode, but it does capture the curiosity construct. Could be rephrased to ""I wanted the music to take me somewhere spiritually""",Moderately Relevant,"Some overlap with PEP - reflection, or MM - source",,"Some overlap with exposure & reward, not sure if intentional. Could say ""The music sparked my curiosity""",Slightly Relevant,Relation to important issues (if non-spiritual) doesn't seem as relevant to this episode from my reading of the definitions,Moderately Relevant,Also relevant to LMA - reduced/causal,Slightly Relevant,Also relevant to LMA - reduced/causal,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,"Somewhat relevant to aesthetics construct, but seems more related to FM - energy control",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,"Seems more relevant to CB - socialisation, but captures curiosity construct",Moderately Relevant,"Seems more relevant to CB - socialisation, but captures curiosity construct",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"Could change to ""... *to my sense of aesthetics""",Extremely Relevant,,Extremely Relevant,,Slightly Relevant,Relevant also to FM episode. Perhaps this could be rephrased to focus on expressing one's own emotions rather than experiencing new ones,Extremely Relevant,,Moderately Relevant,Relevant also to FM - Energy control,Extremely Relevant,"Could also say ""The music enhanced the total experience""",Moderately Relevant,Also relevant to FM - focus,Extremely Relevant,"could say ""aesthetically appropriate to the situation""",Moderately Relevant,Relevant also to LMA - Emotional,Extremely Relevant,"Could say ""enhanced"" instead of ""fulfilled""",Extremely Relevant,,Moderately Relevant,Relevant also to CB episode,Extremely Relevant,Relevant to 'aesthetics' construct,"I think the aesthetics construct could be expanded a little, but otherwise I thought this was very cohesive",AMU,Canadian
2024-10-08 02:14:06,2024-10-08 02:19:14,IP Address,100,308,True,2024-10-08 02:19:15,R_4uholSu5f5zd1xD,anonymous,EN,1,Yes,Yes,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Not Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,,NUNSW,Chinese
2024-10-17 15:05:09,2024-10-17 15:12:31,IP Address,100,442,True,2024-10-17 15:12:32,R_86Zoa5Pwn4nLhxn,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,Relevant but seems a little repetitive with a prior item. One might suffice?,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,This seems to be more PEP than AIA.,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,This overlaps with prior item. Maybe one could be cut?,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,Relevant but repetitive with prior items.,Moderately Relevant,,Moderately Relevant,This seems like it could relate to the Connection-Bonding scheme.,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,These reads as though it should relate to the PEP scheme more than AIA.,Moderately Relevant,,Not Relevant,This seems more like a PEP than AIA item.,Not Relevant,"As before, this seems more like a PEP item to me.",Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,This perhaps seems more CB that AIA?,Extremely Relevant,,"I felt there was some overlap between items that could be reduced, and that some seemed more indicative of other schemes (notably PEP and CB) than to AIA.",HUvA,British
2024-10-17 23:07:06,2024-10-17 23:23:18,IP Address,100,971,True,2024-10-17 23:23:18,R_3pLbZ8fxE7iUV7W,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,Not Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Not Relevant,it does not sound coherent to me,Moderately Relevant,,Not Relevant,,Not Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,it would be better to introduce the sentence with The,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,Moderately Relevant,,,ILPU,ARGENTINE
2024-10-19 01:53:24,2024-10-19 02:06:26,IP Address,100,782,True,2024-10-19 02:06:27,R_6QgLzPEI3AASSPW,anonymous,EN,1,Yes,Yes,Moderately Relevant,"I would phrase it as ""I felt like I was...""",Extremely Relevant,,Moderately Relevant,,Moderately Relevant,"The second half of the sentence sounds quite academic to me. It may be hard to understand for lay people. ",Slightly Relevant,Too ambiguous,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,Too ambiguous.,Extremely Relevant,,Not Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Not Relevant,Too ambiguous.,Extremely Relevant,,Moderately Relevant,"Too ambiguous. I would phrase it as: ""I enjoyed the music because of its value as a piece of art""",Extremely Relevant,,Slightly Relevant,Too ambiguous.,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Not Relevant,Too ambiguous.,"I think there are some dimensions of the experience of ""musical awe"" that may be missing here, like the feeling of being ""dwarfed"" by the huge size of the musical sounds. I recommend looking into Landon S.L. Peck's research about this.
I would also add items more explicitly related to the experience of ""trance"" which can be achieved outside of religious contexts.",JIU,Colombian.
2024-10-22 15:38:59,2024-10-22 16:03:19,IP Address,100,1459,True,2024-10-22 16:03:19,R_1PUgt0HtVdnamg6,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"""prepared me"" isn't the right phrase. Maybe ""allowed me to feel"" or ""encouraged""",Extremely Relevant,,Extremely Relevant,,Slightly Relevant,More useful for Connection-Belonging,Slightly Relevant,Control seems like it would counteract awe experiences,Slightly Relevant,This seems more cognitive than aesthetic,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,"This does indeed go with ""Interest"" in AIA, but I think I see a difference between Aesthetic and Awe vs Interest. They seem like two different constructs -- Aesthetic / Awe may not require the same type of intellectualization as Interest. Interest seems more rational.",Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Not Relevant,Seems like it would fit better in Connection-Belonging,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Could also be useful for Enjoyment-Distraction-Relaxation,Slightly Relevant,Confusing wording -- not sure a general audience would understand,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,More appropriate for Enjoyment-Distraction-Relaxation or Focus-Motivation,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,For appropriate for Connection-Belonging,Not Relevant,,"I mentioned many of these in my comments, but combining the cognitive and affective components seems a bit disjointed. To me, interest is cognitive, awe is affective, and aesthetics is somewhere in between (but closer to affective). I appreciate wanting to look at each of these episodes from cognitive, affective, motivational, and social / transactional perspectives. However, it is hard to find the difference between a social / transactional cue for Aesthetics-Interest-Awe and an item in the Connection-Belonging domain. You'd have to test how participants interpret items that could fit in more than one schema.",WUP,American
2024-10-26 14:03:30,2024-10-26 14:21:12,IP Address,100,1061,True,2024-10-26 14:21:13,R_4amwd5Qq5U50Fup,anonymous,EN,1,Yes,Yes,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"or remove ""I wanted"": ""The music made me feel deeply about something""",Extremely Relevant,,,"consider to remove "" 'step outside' of my usual self to """,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"perhaps to make this more directly relevant to the episode AIA, consider: I was ""deeply touched and in awe of"" the music",Extremely Relevant,"to other people ""who"" listen to this music",Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,"It would be better if there was another phrase to refine ""strong emotional experience"" so it could reflect the meaning of ""awe"" more directly",Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,"""appropriate"" or ""suitable"" instead of ""right""?",Slightly Relevant,,Extremely Relevant,"""enhanced"" or ""made complete"" instead of ""fulfilled""?",Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Nil,HNTU,Singaporean
